download_kbps,is_blacklisted,sim_mobile_carrier_id,network_mobile_carrier_id,raw_sim_carrier_id,raw_network_carrier_id
484,0,2709.0,,375,
952,0,3474.0,3474.0,2143,140991.0
480,0,,,732,732.0
3653,0,3516.0,,650,
2031,0,2709.0,2709.0,543,4945.0
3367,0,3516.0,3516.0,692,692.0
1859,0,3516.0,3516.0,336,336.0
13362,0,2709.0,,375,
179,0,3516.0,3516.0,25,8811.0
15901,0,2709.0,2709.0,494,494.0
638,0,3516.0,3516.0,354,354.0
3279,0,3923.0,3923.0,109974,109974.0
3861,0,3516.0,3516.0,692,692.0
2540,0,2709.0,2709.0,494,494.0
3616,0,3430.0,,544,
5009,0,2709.0,2709.0,3390,3390.0
7821,0,2709.0,2709.0,494,494.0
457,0,2709.0,2709.0,3390,3390.0
474,0,2715.0,2715.0,875,875.0
14382,0,2709.0,2709.0,3390,536.0
11714,0,2709.0,2709.0,97937,1384.0
106,0,3474.0,3474.0,1258,1258.0
15,0,3516.0,3516.0,692,692.0
1868,0,2709.0,2709.0,536,536.0
16557,0,3430.0,3516.0,31196,12438.0
13876,0,3516.0,3516.0,354,354.0
6693,0,,,732,732.0
25388,0,3516.0,3516.0,354,354.0
459,0,,,0,
439,0,3516.0,3516.0,1096,1210.0
6741,0,2699.0,2699.0,1043,1043.0
1769,0,3516.0,3516.0,806,806.0
1198,0,2709.0,2709.0,1326,1326.0
15848,0,2709.0,2709.0,3390,3390.0
780,0,3516.0,3516.0,3132,3132.0
6122,0,3516.0,3516.0,25,25.0
3858,0,2709.0,2709.0,1326,1326.0
30642,0,3516.0,3516.0,354,354.0
14773,0,2709.0,3430.0,494,7350.0
44186,0,2699.0,2699.0,1217,1217.0
604,0,2715.0,2715.0,525,525.0
7787,0,3516.0,3516.0,486,3329.0
13256,0,3516.0,3474.0,32751,1258.0
3938,0,3474.0,2699.0,3465,36477.0
7329,0,2709.0,,458,
12519,0,2709.0,,341,
2850,0,2712.0,2712.0,1194,1194.0
661,0,2709.0,2709.0,6903,6903.0
547,0,3516.0,3516.0,354,354.0
504,0,3430.0,3430.0,3100,1142.0
1236,0,,,0,
301,0,2699.0,2699.0,426,426.0
568,0,3516.0,3516.0,1096,1210.0
627,0,3474.0,3474.0,3638,311.0
7961,0,2709.0,2709.0,494,494.0
634,0,3516.0,3516.0,354,354.0
6096,0,3430.0,3430.0,1682,1137.0
668,0,2715.0,,803,
14586,0,3516.0,3516.0,354,354.0
26004,0,3516.0,3516.0,1096,9445.0
2478,0,3430.0,,1922,732.0
171,0,3516.0,3516.0,548,548.0
49797,0,3516.0,,207,
628,0,2715.0,2715.0,1089,1089.0
22722,0,3516.0,,149,
46014,0,3516.0,3516.0,143,143.0
20348,0,3474.0,,351,
2347,0,3516.0,3516.0,354,354.0
4846,0,3474.0,,1263,
900,0,2715.0,2715.0,875,875.0
229,0,2712.0,2712.0,1152,1152.0
605,0,3516.0,3516.0,548,548.0
7140,0,3516.0,3516.0,354,9381.0
1991,0,3516.0,3516.0,25,8811.0
713,0,,,732,732.0
18973,0,3923.0,3923.0,142295,142295.0
12,0,2709.0,2709.0,1123,1123.0
1566,0,3516.0,,650,
34067,0,3516.0,3516.0,354,354.0
7772,0,,3474.0,732,1010.0
1978,0,3516.0,2709.0,31740,494.0
6774,0,3516.0,3516.0,354,354.0
4972,0,3925.0,3516.0,36089,143.0
1521,0,3430.0,3430.0,986,6.0
11865,0,3430.0,3516.0,28773,143.0
2051,0,3516.0,3516.0,354,354.0
30661,0,3516.0,,330,
29993,0,3516.0,3516.0,354,9381.0
1024,0,3430.0,3430.0,1922,1250.0
4626,0,3430.0,3430.0,3100,1142.0
430,0,2709.0,,554,
25,0,3516.0,,145,
1689,0,3516.0,,207,
30846,0,3516.0,3516.0,354,354.0
9630,0,3516.0,3516.0,336,4774.0
2804,0,3516.0,3516.0,692,22399.0
1905,0,3516.0,3516.0,1020,1020.0
4662,0,3516.0,3516.0,336,336.0
2438,0,3430.0,3430.0,986,986.0
1344,0,2709.0,,375,
2018,0,3516.0,3516.0,548,548.0
38677,0,2709.0,,341,
686,0,3516.0,2709.0,31740,494.0
778,0,2709.0,2709.0,1707,1707.0
3909,0,3516.0,3516.0,354,354.0
798,0,3516.0,3516.0,1385,2441.0
117,0,2709.0,2709.0,1326,1326.0
9939,0,3474.0,3474.0,3638,311.0
1609,0,2699.0,2699.0,1421,1421.0
4783,0,2709.0,,458,
4548,0,3516.0,3516.0,354,354.0
21434,0,3516.0,,143,732.0
